feature,mean,std
age,54.44845329620437,18.024968822671497
gender_male,0.49824444578969673,0.4999969180199161
kids_home,1.1149585325988256,1.14446778481464
teens_home,0.899903141836673,0.9581404722374666
household_children,2.0148616744354984,1.7714440128342577
number_complaints,0.9322295538470852,0.8857021213746094
distinct_stores_visited,3.166263090986137,1.665790123609999
customer_tenure_years,11.078636721351172,4.506520428176522
has_loyalty_card,0.6033052848235365,0.48921162918263505
promotion_purchase_rate,0.3382314643002899,0.261051950334009
lifetime_total_distinct_products,148.914643743568,105.92130426861573
total_lifetime_spend,23706.236031236756,13360.078688640406
avg_spend_per_product,340.99964209674584,1156.252570484325
spend_per_tenure_year,2759.694133850999,3755.7465956823976
typical_hour_sin,0.05436648284886791,0.7052778577218703
typical_hour_cos,-0.4270580816693157,0.5632484565720682
latitude,38.74969359246253,0.022497238676041906
longitude,-9.154549063726972,0.028580142643558844
log1p_spend_groceries,9.42170808755702,0.850898321471434
share_spend_groceries,0.6475954492561976,0.1859324924621505
log1p_spend_electronics,7.184570287244628,1.3786625869600526
share_spend_electronics,0.11565067689433642,0.12698109369153587
log1p_spend_vegetables,6.085093573780309,1.150151586603001
share_spend_vegetables,0.04209034906922752,0.05157287898167047
log1p_spend_nonalcohol_drinks,5.929918144555337,0.7251521105107506
share_spend_nonalcohol_drinks,0.022611661854957128,0.015454533954619338
log1p_spend_alcohol_drinks,6.001372022100689,1.0778872081703137
share_spend_alcohol_drinks,0.029403473987567322,0.025052204431904944
log1p_spend_meat,6.168927555344063,1.1758938819391846
share_spend_meat,0.03555035603661588,0.029613138134811444
log1p_spend_fish,5.903589624611272,1.2354322021145747
share_spend_fish,0.027879424941545782,0.02363743047487679
log1p_spend_hygiene,6.345912310308076,1.0237638791547763
share_spend_hygiene,0.04281717276100535,0.04034292822265727
log1p_spend_videogames,5.366203088099373,1.106900631382276
share_spend_videogames,0.018131000718887704,0.02356109539013106
log1p_spend_petfood,5.664777590161228,0.6627853051718817
share_spend_petfood,0.01827043447965916,0.014025240734672942
